Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
9,INTERMEDIATE,14,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333730698,14.471094605000815,0.101,14.490167555236816
9,INTERMEDIATE,15,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.47109452311198,0.101,14.490167555236816
9,INTERMEDIATE,16,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094525146484,0.101,14.490167555236816
9,INTERMEDIATE,17,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094514465332,0.101,14.490167555236816
9,INTERMEDIATE,18,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094515482585,0.101,14.490167555236816
9,INTERMEDIATE,19,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333334128062,14.471094586690267,0.101,14.490167555236816
9,INTERMEDIATE,20,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333334128062,14.471094654846192,0.101,14.490167555236816
9,INTERMEDIATE,21,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094624837239,0.101,14.490167555236816
9,INTERMEDIATE,22,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094617207845,0.101,14.490167555236816
9,INTERMEDIATE,23,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094576009115,0.101,14.490167555236816
9,INTERMEDIATE,24,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094604492187,0.101,14.490167555236816
9,INTERMEDIATE,25,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.47109453125,0.101,14.490167555236816
9,INTERMEDIATE,26,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094482421876,0.101,14.490167555236816
9,COMPLETED,26,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10201666666666667,14.421563885498047,0.101,14.490167555236816
4,INTERMEDIATE,1,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.04772883256971836,0.9401166666666667,0.18779684040347736,0.983,0.04772883256971836
4,INTERMEDIATE,2,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.05329255616236478,0.9820333333015442,0.059565518234173456,0.9847,0.05329255616236478
4,INTERMEDIATE,3,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.0512381398770478,0.9853666666666666,0.048306664739797514,0.9865,0.0512381398770478
4,INTERMEDIATE,4,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.0637157487956807,0.9876,0.04130409410285453,0.9847,0.0637157487956807
4,INTERMEDIATE,5,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.10265505036953837,0.9852000000317891,0.052576947848995526,0.9752,0.10265505036953837
4,INTERMEDIATE,6,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.05646895897098366,0.9881499999682108,0.043375529329975446,0.9829,0.05646895897098366
4,INTERMEDIATE,7,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.06615840497522149,0.9884166666666667,0.04590717708518108,0.9824,0.06615840497522149
4,INTERMEDIATE,8,256,mnist,100,"0,1,2,3",0.01,12,3,cnn,3,25,json,0.09076674989871683,0.9848166666666667,0.06302360630432764,0.9829,0.09076674989871683
