Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
7,INTERMEDIATE,45,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303268803024292,0.09895999999523163,2.3032923233032228,0.1,2.303268803024292
7,INTERMEDIATE,46,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.30346668548584,0.10172000000476837,2.3032819706726073,0.1,2.30346668548584
7,INTERMEDIATE,47,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303261210632324,0.10036000000119209,2.3033541987609865,0.1,2.303261210632324
7,INTERMEDIATE,48,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303432030105591,0.10018,2.3032910716247557,0.1,2.303432030105591
7,INTERMEDIATE,49,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3028615753173827,0.09861999999761581,2.3033385314178467,0.1,2.3028615753173827
7,INTERMEDIATE,50,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3026909797668456,0.09922000000238419,2.3032734465026854,0.1,2.3026909797668456
7,INTERMEDIATE,51,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031726978302003,0.10010000000238418,2.303269076690674,0.1,2.3031726978302003
7,COMPLETED,51,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3026909797668456,0.09922000000238419,2.3032734465026854,0.1,2.3026909797668456
12,INTERMEDIATE,1,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.2904233652114867,0.44162,1.5386036421966554,0.5409,1.2904233652114867
12,INTERMEDIATE,2,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.144939877128601,0.5696599999809265,1.2121239264678956,0.5928,1.144939877128601
12,INTERMEDIATE,3,128,cifar,200,"0,1,2,3",0.001,12,3,cnn,2,50,json,1.037567869949341,0.6369399999809265,1.0322715166473388,0.6347,1.037567869949341
